date,item_id,stock_level,movement_type,quantity
2025-06-13,ITM002,2006,out,287
2025-06-14,ITM002,1630,adjustment,132
2025-06-15,ITM002,2035,adjustment,356
2025-06-16,ITM002,1591,in,270
2025-06-17,ITM002,1712,out,372
2025-06-18,ITM002,1715,out,194
2025-06-19,ITM002,1694,adjustment,449
2025-06-20,ITM002,1701,in,274
2025-06-21,ITM002,1787,out,250
2025-06-22,ITM002,1631,in,396
2025-06-23,ITM002,1693,in,95
2025-06-24,ITM002,1818,out,198
2025-06-25,ITM002,1673,in,443
2025-06-26,ITM002,2083,in,421
2025-06-27,ITM002,1922,in,408
2025-06-28,ITM002,1532,in,181
2025-06-29,ITM002,1899,in,68
2025-06-30,ITM002,2023,adjustment,99
2025-07-01,ITM002,1767,adjustment,254
2025-07-02,ITM002,1758,out,316
2025-07-03,ITM002,1429,adjustment,117
2025-07-04,ITM002,1846,out,267
2025-07-05,ITM002,1718,out,84
2025-07-06,ITM002,1681,out,263
2025-07-07,ITM002,1721,adjustment,354
2025-07-08,ITM002,1716,adjustment,454
2025-07-09,ITM002,1998,in,305
2025-07-10,ITM002,1552,out,454
2025-07-11,ITM002,1730,adjustment,340
2025-07-12,ITM002,1936,adjustment,329
2025-07-13,ITM002,1943,out,247
2025-07-14,ITM002,1862,out,431
2025-07-15,ITM002,1457,adjustment,410
2025-07-16,ITM002,1592,adjustment,135
2025-07-17,ITM002,1857,in,471
2025-07-18,ITM002,1783,adjustment,420
2025-07-19,ITM002,1774,out,427
2025-07-20,ITM002,1817,in,239
2025-07-21,ITM002,1831,out,77
2025-07-22,ITM002,1825,adjustment,164
2025-07-23,ITM002,1780,adjustment,367
2025-04-24,ITM003,3541,out,349
2025-04-25,ITM003,3597,in,285
2025-04-26,ITM003,3277,out,367
2025-04-27,ITM003,3618,out,252
2025-04-28,ITM003,3571,in,116
2025-04-29,ITM003,3675,out,464
2025-04-30,ITM003,3416,out,237
2025-05-01,ITM003,3602,out,158
2025-05-02,ITM003,3340,in,497
2025-05-03,ITM003,3821,in,263
2025-05-04,ITM003,3655,in,231
2025-05-05,ITM003,3393,out,294
2025-05-06,ITM003,3609,out,409
2025-05-07,ITM003,3441,out,325
2025-05-08,ITM003,3423,out,419
2025-05-09,ITM003,3361,out,401
2025-05-10,ITM003,3499,out,335
2025-05-11,ITM003,3368,adjustment,288
2025-05-12,ITM003,3261,in,103
2025-05-13,ITM003,3732,in,159
2025-05-14,ITM003,3570,out,57
2025-05-15,ITM003,3397,out,291
2025-05-16,ITM003,3499,out,367
2025-05-17,ITM003,3281,out,172
2025-05-18,ITM003,3796,adjustment,311
2025-05-19,ITM003,3270,out,107
2025-05-20,ITM003,3619,in,335
2025-05-21,ITM003,3808,out,71
2025-05-22,ITM003,3702,adjustment,211
2025-05-23,ITM003,3929,out,306
2025-05-24,ITM003,3266,in,446
2025-05-25,ITM003,3424,out,274
2025-05-26,ITM003,3368,out,362
2025-05-27,ITM003,3730,out,309
2025-05-28,ITM003,3843,out,145
2025-05-29,ITM003,3663,out,426
2025-05-30,ITM003,3332,adjustment,434
2025-05-31,ITM003,3386,out,323
2025-06-01,ITM003,3326,out,221
2025-06-02,ITM003,3372,out,428
2025-06-03,ITM003,3676,adjustment,247
2025-06-04,ITM003,3553,out,440
2025-06-05,ITM003,3754,adjustment,110
2025-06-06,ITM003,3448,out,130
2025-06-07,ITM003,3440,in,351
2025-06-08,ITM003,3361,in,51
2025-06-09,ITM003,3432,in,317
2025-06-10,ITM003,3620,in,258
2025-06-11,ITM003,3587,out,341
2025-06-12,ITM003,3316,out,292
2025-06-13,ITM003,3336,out,151
2025-06-14,ITM003,3498,out,138
2025-06-15,ITM003,3542,adjustment,143
2025-06-16,ITM003,3589,adjustment,359
2025-06-17,ITM003,3806,out,292
2025-06-18,ITM003,3496,out,277
2025-06-19,ITM003,3467,out,230
2025-06-20,ITM003,3603,adjustment,195
2025-06-21,ITM003,3398,in,155
2025-06-22,ITM003,3216,in,117
2025-06-23,ITM003,3727,in,370
2025-06-24,ITM003,3415,out,194
2025-06-25,ITM003,3638,out,219
2025-06-26,ITM003,3435,out,209
2025-06-27,ITM003,3631,out,117
2025-06-28,ITM003,3523,adjustment,479
2025-06-29,ITM003,3634,out,102
2025-06-30,ITM003,3354,out,176
2025-07-01,ITM003,3591,out,451
2025-07-02,ITM003,3748,adjustment,320
2025-07-03,ITM003,3710,in,474
2025-07-04,ITM003,3714,out,454
2025-07-05,ITM003,3489,adjustment,348
2025-07-06,ITM003,3681,in,267
2025-07-07,ITM003,3298,out,377
2025-07-08,ITM003,3761,out,415
2025-07-09,ITM003,3556,in,357
2025-07-10,ITM003,3612,in,107
2025-07-11,ITM003,3698,out,217
2025-07-12,ITM003,3559,in,318
2025-07-13,ITM003,3493,out,474
2025-07-14,ITM003,3441,out,490
2025-07-15,ITM003,3215,out,182
2025-07-16,ITM003,3516,out,267
2025-07-17,ITM003,3677,adjustment,321
2025-07-18,ITM003,3747,adjustment,380
2025-07-19,ITM003,3715,out,445
2025-07-20,ITM003,3245,out,337
2025-07-21,ITM003,3301,out,114
2025-07-22,ITM003,3645,out,93
2025-07-23,ITM003,3330,in,357
2025-04-24,ITM004,1526,out,167
2025-04-25,ITM004,1515,in,148
2025-04-26,ITM004,1296,in,418
2025-04-27,ITM004,1558,in,385
2025-04-28,ITM004,1664,in,283
2025-04-29,ITM004,1358,out,328
2025-04-30,ITM004,1127,out,54
2025-05-01,ITM004,1525,out,335
2025-05-02,ITM004,1383,out,140
2025-05-03,ITM004,1435,out,240
2025-05-04,ITM004,1132,out,275
2025-05-05,ITM004,1437,out,361
2025-05-06,ITM004,1432,in,493
2025-05-07,ITM004,1454,out,160
2025-05-08,ITM004,1121,out,270
2025-05-09,ITM004,1272,in,451
2025-05-10,ITM004,1360,out,427
2025-05-11,ITM004,1339,out,74
2025-05-12,ITM004,1245,out,254
2025-05-13,ITM004,1425,adjustment,410
2025-05-14,ITM004,1157,out,195
2025-05-15,ITM004,1496,in,103
2025-05-16,ITM004,1279,out,330
2025-05-17,ITM004,1473,out,127
2025-05-18,ITM004,1426,out,213
2025-05-19,ITM004,1319,in,425
2025-05-20,ITM004,1221,in,69
2025-05-21,ITM004,1276,in,145
2025-05-22,ITM004,1148,out,365
2025-05-23,ITM004,1294,adjustment,442
2025-05-24,ITM004,1341,out,81
2025-05-25,ITM004,1289,adjustment,133
2025-05-26,ITM004,1203,out,203
2025-05-27,ITM004,1338,in,343
2025-05-28,ITM004,1704,out,454
2025-05-29,ITM004,1418,out,389
2025-05-30,ITM004,1337,out,148
2025-05-31,ITM004,1525,adjustment,358
2025-06-01,ITM004,1078,out,368
2025-06-02,ITM004,1129,out,87
2025-06-03,ITM004,1445,out,296
2025-06-04,ITM004,1159,in,57
2025-06-05,ITM004,1532,in,445
2025-06-06,ITM004,1249,in,351
2025-06-07,ITM004,1542,adjustment,320
2025-06-08,ITM004,1029,in,289
2025-06-09,ITM004,1523,out,158
2025-06-10,ITM004,1439,out,281
2025-06-11,ITM004,1372,out,232
2025-06-12,ITM004,1705,in,205
2025-06-13,ITM004,1450,out,387
2025-06-14,ITM004,1694,in,76
2025-06-15,ITM004,1171,out,116
2025-06-16,ITM004,1366,in,462
2025-06-17,ITM004,1459,in,329
2025-06-18,ITM004,1464,out,182
2025-06-19,ITM004,1483,adjustment,345
2025-06-20,ITM004,1399,in,289
2025-06-21,ITM004,1307,out,82
2025-06-22,ITM004,1180,in,65
2025-06-23,ITM004,1437,out,364
2025-06-24,ITM004,1427,out,63
2025-06-25,ITM004,1141,in,143
2025-06-26,ITM004,1457,in,458
2025-06-27,ITM004,1490,adjustment,105
2025-06-28,ITM004,1359,in,283
2025-06-29,ITM004,1451,in,295
2025-06-30,ITM004,1475,out,371
2025-07-01,ITM004,1325,in,147
2025-07-02,ITM004,1247,in,169
2025-07-03,ITM004,949,in,154
2025-07-04,ITM004,1037,out,286
2025-07-05,ITM004,1394,out,469
2025-07-06,ITM004,1383,out,149
2025-07-07,ITM004,1587,adjustment,86
2025-07-08,ITM004,1172,adjustment,255
2025-07-09,ITM004,1447,in,295
2025-07-10,ITM004,1267,out,103
2025-07-11,ITM004,1454,in,407
2025-07-12,ITM004,1525,out,115
2025-07-13,ITM004,1380,in,220
2025-07-14,ITM004,1380,out,189
2025-07-15,ITM004,1453,out,253
2025-07-16,ITM004,1160,adjustment,473
2025-07-17,ITM004,1302,out,430
2025-07-18,ITM004,1087,in,471
2025-07-19,ITM004,1675,out,335
2025-07-20,ITM004,1237,out,265
2025-07-21,ITM004,1294,in,247
2025-07-22,ITM004,1271,out,191
2025-07-23,ITM004,1407,out,449
2025-04-24,ITM005,2757,adjustment,445
2025-04-25,ITM005,3091,adjustment,150
2025-04-26,ITM005,3102,out,251
2025-04-27,ITM005,2715,out,222
2025-04-28,ITM005,2829,adjustment,454
2025-04-29,ITM005,3300,in,310
2025-04-30,ITM005,2561,out,494
2025-05-01,ITM005,2920,out,168
2025-05-02,ITM005,2862,in,146
2025-05-03,ITM005,2946,in,74
2025-05-04,ITM005,2911,out,124
2025-05-05,ITM005,3092,out,299
2025-05-06,ITM005,2915,out,462
2025-05-07,ITM005,3073,out,322
2025-05-08,ITM005,2745,in,382
2025-05-09,ITM005,3032,in,203
2025-05-10,ITM005,3065,adjustment,429
2025-05-11,ITM005,3081,in,108
2025-05-12,ITM005,2628,adjustment,312
2025-05-13,ITM005,2719,in,317
2025-05-14,ITM005,2890,out,265
2025-05-15,ITM005,2891,out,405
2025-05-16,ITM005,3137,adjustment,419
2025-05-17,ITM005,2938,out,341
2025-05-18,ITM005,3034,in,139
2025-05-19,ITM005,2786,adjustment,499
2025-05-20,ITM005,3092,out,410
2025-05-21,ITM005,2982,in,302
2025-05-22,ITM005,2695,out,382
2025-05-23,ITM005,3072,in,340
2025-05-24,ITM005,2808,out,330
2025-05-25,ITM005,2814,out,98
2025-05-26,ITM005,2722,in,371
2025-05-27,ITM005,2950,out,349
2025-05-28,ITM005,2968,out,194
2025-05-29,ITM005,2971,adjustment,373
2025-05-30,ITM005,2958,in,471
2025-05-31,ITM005,3052,in,64
2025-06-01,ITM005,3110,out,312
2025-06-02,ITM005,2943,out,488
2025-06-03,ITM005,2821,in,483
2025-06-04,ITM005,2773,adjustment,105
2025-06-05,ITM005,2840,in,442
2025-06-06,ITM005,2975,out,68
2025-06-07,ITM005,2816,adjustment,383
2025-06-08,ITM005,2634,out,250
2025-06-09,ITM005,2856,out,61
2025-06-10,ITM005,2777,out,294
2025-06-11,ITM005,3006,in,118
2025-06-12,ITM005,3142,in,306
2025-06-13,ITM005,3070,out,417
2025-06-14,ITM005,3043,out,459
2025-06-15,ITM005,2918,in,396
2025-06-16,ITM005,2774,adjustment,439
2025-06-17,ITM005,3020,out,287
2025-06-18,ITM005,3140,adjustment,135
2025-06-19,ITM005,2875,out,219
2025-06-20,ITM005,2981,in,303
2025-06-21,ITM005,3285,adjustment,104
2025-06-22,ITM005,2956,in,292
2025-06-23,ITM005,3142,in,79
2025-06-24,ITM005,2627,adjustment,431
2025-06-25,ITM005,3040,adjustment,63
2025-06-26,ITM005,2865,out,64
2025-06-27,ITM005,2738,out,422
2025-06-28,ITM005,3002,out,338
2025-06-29,ITM005,2996,in,287
2025-06-30,ITM005,2783,in,348
2025-07-01,ITM005,2946,in,106
2025-07-02,ITM005,2771,in,386
2025-07-03,ITM005,2851,adjustment,174
2025-07-04,ITM005,3045,in,195
2025-07-05,ITM005,2796,in,73
2025-07-06,ITM005,2830,in,459
2025-07-07,ITM005,3009,out,372
2025-07-08,ITM005,2867,in,308
2025-07-09,ITM005,3205,adjustment,207
2025-07-10,ITM005,2940,in,218
2025-07-11,ITM005,3126,out,319
2025-07-12,ITM005,2718,out,74
2025-07-13,ITM005,3122,out,126
2025-07-14,ITM005,2819,out,204
2025-07-15,ITM005,2868,out,402
2025-07-16,ITM005,2995,out,424
2025-07-17,ITM005,3173,in,144
2025-07-18,ITM005,2617,in,435
2025-07-19,ITM005,2808,in,350
2025-07-20,ITM005,2860,in,461
2025-07-21,ITM005,3218,in,227
2025-07-22,ITM005,3118,in,257
2025-07-23,ITM005,2971,in,272
